"Campaign","Payout Type","Publisher","Experiment IntelliBid","Impressions","Conversions","Conversions one day","Booked Revenue (INR)","Cost (INR)","ePPC (INR)","ePPA (INR)"
"Jabong_OldUser","CPA","rtbFB-XNF","A23","39.0","0.0","0.0","0.0","3.516572115","NaN","NaN"
"","","rtbFBX","A23","772.0","0.0","0.0","0.0","26.544542325","0.0","NaN"
"MA_Jabong_IN","CPA","Google_App","A23","570431.0","889.0","74.0","177800.0","13268.410523899998","80.59836808703535","200.0"
"","","Mobfox_App","A23","11798.0","7.0","0.0","1400.0","314.09092289999995","27.45098039215686","200.0"
"","","Mopub_App","A23","657848.0","1414.0","124.0","282800.0","35614.0886006","55.342465753424655","200.0"
"","","Nexage_App","A23","188292.0","320.0","36.0","64000.0","5290.990991799999","30.44719314938154","200.0"
"","","rtbsmaato_app","A23","10863.0","17.0","0.0","3400.0","561.8558191049999","38.20224719101124","200.0"
"MW_Limeroad_IN","CPA","rtb-google-auto","A23","5.0","19.0","0.0","4750.0","0.16359200000000002","Infinity","250.0"
"MW_Yepme_IN_E","CPA","rtb-google-auto","A23","9.0","5.0","0.0","500.0","0.6930872","Infinity","100.0"
"Makemytrip_new","CPC","rtbFB-XNF","A23","233.0","1.0","0.0","0.0","20.787969089999997","NaN","0.0"
"","","rtbFBX","A23","4255.0","1.0","0.0","80.5","77.05295367000001","11.5","80.5"
"Myntra","CPA","rtbFBX","A23","493.0","0.0","0.0","0.0","11.071467434999999","0.0","NaN"
"Myntra_OldUser","CPA","rtbFBX","A23","3444.0","0.0","0.0","0.0","187.68286908","0.0","NaN"
"Purplle","CPC","rtbFBX","A23","1.0","0.0","0.0","0.0","0.02015538","NaN","NaN"
"Zivame","CPC","rtbFB-XNF","A23","19.0","0.0","0.0","0.0","4.091201519999999","NaN","NaN"
"","","rtbFBX","A23","305.0","0.0","0.0","48.0","8.0856153","8.0","Infinity"
"inkfruit_","CPC","rtb-google-auto","A23","39340.0","0.0","0.0","0.0","2507.939344248","NaN","NaN"
"","","OpenX_CCI","A23","72.0","0.0","0.0","0.0","1.4831505","NaN","NaN"
"","","RTB_Ad-china","A23","60.0","0.0","0.0","0.0","0.6941185","NaN","NaN"
"","","rtb-rubicon","A23","7663.0","0.0","0.0","0.0","445.64674632000003","NaN","NaN"
"","","rtbadfunnel","A23","31.0","0.0","0.0","0.0","0.5091391200000001","NaN","NaN"
"","","rtbappnexus","A23","26392.0","0.0","0.0","0.0","1504.890437377","NaN","NaN"
"","","rtbbaidu","A23","2483.0","0.0","0.0","0.0","28.99240659","NaN","NaN"
